folder,lag,pair_count,residual_correlation_mean,residual_correlation_max_abs,highpass_correlation_mean,highpass_correlation_max_abs,row_correlation_mean,column_correlation_mean
1,1,24,0.13243236462070068,0.33592253992071475,-0.0037478439166305113,0.019331427336489362,0.502240040678961,0.5609435675441401
1,2,24,0.13481068671176227,0.33227442384680955,-0.0012457296132058903,0.026626811728865434,0.514064200285853,0.5504796317254685
1,4,24,0.13093643616250797,0.33990562537616753,-0.0007940781194933881,0.02413024206537473,0.4925583173633754,0.5437313632999016
1,8,24,0.1249927601254804,0.3255315124232955,-0.0017603202443525305,0.021252394218904642,0.48622811327656645,0.5202984431911997
1,16,24,0.11675298177716337,0.3115339061222498,-0.0009459424203092762,0.01677278507094827,0.47766654824329874,0.5192339729698782
1,32,24,0.08703784180394254,0.2748046956105861,-0.004476486976711166,0.028164514100295038,0.37431077474841107,0.4161315570152479
1,64,24,0.018255711231194807,0.1271503218617417,-0.004899574611955009,0.022266605786735633,0.07332668302819943,0.08091422487656835
1,100,24,-0.08018857472767237,0.12662737741849764,-0.009574121605168776,0.03216337747367289,-0.37533097564956597,-0.41379689171338535
2,1,24,0.0007027608093753383,0.018641434659459156,-0.00515321586452505,0.01928365962921996,0.023788743596937573,0.08513858937293349
2,2,24,0.000945765656214582,0.023590951220365065,-0.0047541982512873575,0.01908801078779951,-0.0009975222273221989,0.0743248792272292
2,4,24,9.271381651972688e-06,0.021002775033580848,-0.005246145129887115,0.02278410537122225,0.01327543813078891,0.07029175414400494
2,8,24,0.00234691556935887,0.017556048944878146,-0.0022811637857802357,0.016106127862112532,0.024874673501804678,0.05981877327301031
2,16,24,-0.0003143013265268421,0.021672540549546062,-0.005077490124815749,0.017347425224736954,0.007425377282988988,0.06511070523811091
2,32,24,0.001103618713669838,0.021298383677916335,-0.0027869600674022533,0.023043439511031997,0.020058954255850008,0.05005328783975239
2,64,24,-0.006270178420391018,0.03140846705631782,-0.00703115689045247,0.028388866459417194,-0.007545666598897082,0.006752224976604635
2,100,24,-0.008082166056598573,0.030565056859715306,-0.005997219526680417,0.030393124040735138,-0.026097255820621112,-0.03047243101080399
4,1,24,0.0369180266435539,0.10592397633923652,-0.0013624313575383799,0.01631613986445329,0.1721385897151142,0.6255265507264104
4,2,24,0.0344829907852404,0.11092742024804833,-0.0028177118723879354,0.025458420941433343,0.1689088087768206,0.6184421366090816
4,4,24,0.03362394406811956,0.10603890277878822,-0.003746254564740739,0.02583398627280469,0.1727325733157866,0.6242450857112325
4,8,24,0.028515783528649058,0.08745848380448813,-0.006796035975396397,0.024172545831159867,0.18127448097164203,0.6092582970896557
