variant,seed,reference,folder,pair_count,positive_pair_fraction,psnr_gain,ssim,ssim_gain,gradient_ratio_to_noisy,residual_std,brightness_bias_to_reference
H-L,20260717,reference_b_even,7,8,0.0,-1.5570808649593992,0.9898499032643222,-0.00243628384154429,0.8762512968305759,0.002744996454566717,-0.0019284312438685447
H-L,20260717,reference_b_even,8,8,0.0,-1.7377426228953876,0.9915232542923416,-0.0020708358697046625,0.830584884882056,0.002410564833553508,-0.0018077603890560567
H-L,20260717,reference_b_even,9,8,0.0,-2.329488042053301,0.9962683466610086,-0.0010934618225841297,0.6552121951477726,0.0017592238582437858,-0.0009497905557509512
H-L,20260717,reference_b_even,10,8,0.0,-3.1677250938879844,0.9967132529230178,-0.001597043345680657,0.5547682834560719,0.0016415642894571647,-0.0006060483501642011
H-L,20260717,reference_b_even,11,8,0.0,-3.8192845335771572,0.997118742423087,-0.0018368947856532702,0.3450046588808172,0.0014409081632038578,-0.00032114241912495345
H-L,20260717,reference_b_even,13,8,0.0,-5.301904030060452,0.9976473610012618,-0.001910316901566872,0.03658324829003315,0.00021742165881732944,0.0011117436515633017
H-L,20260718,reference_a_odd,1,8,0.0,-1.4614673440031956,0.997306464425844,-0.0007980968009908551,0.3807343066963991,0.0013918441109126434,-0.0006481724340119399
H-L,20260718,reference_a_odd,2,8,0.0,-0.9750873550045824,0.9989140809863741,-0.0005131398549490379,0.04413613445228148,0.0004586585346260108,0.0006337430022540502
H-L,20260718,reference_a_odd,4,8,0.0,-0.47660621541532144,0.995105850917972,-0.00041734249085441377,0.7243485779205814,0.002000259075430222,-0.0008322902576765046
H-L,20260718,reference_a_odd,5,8,0.0,-0.42734225612132803,0.982296901068994,-0.0014905904985462876,0.9555551899348417,0.004628042399417609,-0.0016860586183611304
H-L,20260718,reference_a_odd,7,8,0.0,-0.7958064838071,0.9904864914361146,-0.001797878983681847,0.8321150230304977,0.00276893557747826,-0.0013424117350950837
H-L,20260718,reference_a_odd,8,8,0.0,-0.7683556712345876,0.9922070186002611,-0.001383554585833613,0.7958296133437716,0.0024074614339042455,-0.0012186463427497074
H-L,20260718,reference_a_odd,9,8,0.0,-0.731961608642524,0.9970948122115328,-0.00026545041434425376,0.6013704623522047,0.0015303296240745112,-0.000653669674647972
H-L,20260718,reference_a_odd,10,8,0.0,-2.1910524121248756,0.9973293997797936,-0.000982249975904001,0.4575483749112505,0.001461848834878765,-0.0005538903642445803
H-L,20260718,reference_a_odd,11,8,0.0,-3.376035853036548,0.9974008904054076,-0.0015539167574211005,0.23876345765806045,0.0013582448882516474,-0.00035223265876993537
H-L,20260718,reference_a_odd,13,8,0.0,-4.604751671622692,0.9979923902537405,-0.0015664277010883632,0.04186670866320211,0.00021837175336258952,0.0010216024820692837
H-L,20260718,reference_b_even,1,8,0.0,-1.4764720292760831,0.9973150984491774,-0.000802044037088584,0.3807343066963991,0.0013877467135898769,-0.0006506708887172863
H-L,20260718,reference_b_even,2,8,0.0,-0.8563099588347658,0.9989434827341026,-0.0004819724869134928,0.04413613445228148,0.00045884631254011765,0.0006212892913026735
H-L,20260718,reference_b_even,4,8,0.0,-0.4848605947730267,0.9951035303862581,-0.0004247996922819852,0.7243485779205814,0.0019980001670774072,-0.0008382989399251528
H-L,20260718,reference_b_even,5,8,0.0,-0.4253280720008066,0.9823311176988527,-0.00147497336870063,0.9555551899348417,0.004617480328306556,-0.0016778773861005902
