effect,mean_psnr_gain_effect_db,folder_bootstrap_ci95_low,folder_bootstrap_ci95_high,seed_std_db,surrogate_reference_half_difference_db,effect_to_uncertainty_ratio,stable_nonzero,mean_ssim_effect,mean_gradient_ratio_effect,mean_residual_std_effect,mean_brightness_bias_effect
H-H_minus_H-L,-2.9994098398133575,-4.073058988068954,-1.9574606842450677,0.4259680082294571,0.0018602425328044792,7.041396963777757,1,-0.0045708937475020086,-0.1296065621976464,0.00047767494652362075,-0.00069290773215774
H-H_minus_P-H,-0.5761314630559868,-1.3220123948628886,0.1527365015030122,0.7417648331124155,0.00042065785782541276,0.7767036631253632,0,-0.0033241949077424155,0.049382620273587724,0.0003603397828859064,0.0002515742982116838
H-L_minus_P-L,-1.3961597999854525,-1.925030648194598,-0.9362311146138568,0.64503304203947,0.00012163339815329799,2.164477955378944,1,-0.0010601184818849363,-0.039155087418345856,0.00013052351238608632,-0.00046459019493596545
P-H_minus_P-L,-3.8194381767428234,-4.911538853542197,-2.703400694886598,0.4942807189030484,0.0013179512768253243,7.727265156567829,1,-0.0023068173216445292,-0.21814426988958,0.0002478586760238007,-0.0014090722253053893
interaction,0.8200283369294658,0.26014491872912215,1.4451683869717329,0.1532697179524386,0.0005422912559785997,5.350230612311365,1,-0.002264076425857479,0.08853770769193357,0.00022981627049982004,0.0007161644931476493
strength_main,-3.40942400827809,-4.46618064893578,-2.3572372209184236,0.4549815215443782,0.0015890969048149017,7.493543906366184,1,-0.003438855534573267,-0.17387541604361317,0.00036276681127371074,-0.0010509899787315645
structure_main,-0.9861456315207198,-1.5632958540081054,-0.4561858731263203,0.6908461803268406,0.00014951222983633494,1.4274460214199525,1,-0.002192156694813681,0.005113766427620928,0.0002454316476359963,-0.0001065079483621408
