variant,seed_count,mean_folder_psnr_gain_db,seed_std_psnr_gain_db,seed_t_ci95_low_db,seed_t_ci95_high_db,mean_ssim,seed_std_ssim,mean_gradient_ratio_to_noisy,seed_std_gradient_ratio,positive_folder_count,worst_folder_psnr_gain_db,positive_pair_fraction,mean_residual_std,mean_brightness_bias,reference_folder_sign_agreement,reference_folder_gain_correlation
P-L,3,-0.4955037590953994,0.3514037951890177,-1.3684391787665926,0.37743166057579375,0.9955241841540613,0.0001773301726196622,0.5696795438752142,0.018107760560378727,5,-4.8122983054548785,0.5291666666666667,0.0017115985220698348,-0.00011979728069538472,1.0,0.9995833570607624
P-H,3,-4.314941935838223,0.2215475436761943,-4.865296544023584,-3.764587327652862,0.9932173668324169,0.0007812490529506501,0.3515352739856343,0.009064226328120853,0,-6.2000888918535155,0.0,0.0019594571980936356,-0.001528869506000774,1.0,0.9996344901842933
H-L,3,-1.8916635590808515,0.46998180521283206,-3.0591630852331244,-0.7241640329285786,0.9944640656721764,0.00036201714094280133,0.5305244564568684,0.021999179355471132,0,-5.4432651156987175,0.0,0.0018421220344559213,-0.0005843874756313502,1.0,0.9995616717721949
H-H,3,-4.891073398894209,0.6679961129401647,-6.550467734332429,-3.2316790634559887,0.9898931719246745,0.0011229692405753857,0.400917894259222,0.014334691614161588,0,-8.261543568857688,0.0,0.002319796980979542,-0.00127729520778909,1.0,0.9998422359631206
