effect,seed,reference,folder,psnr_gain,ssim,gradient_ratio_to_noisy,residual_std,brightness_bias_to_reference
strength_main,20260716,reference_a_odd,9,-4.369259616132927,-0.00277707910264402,-0.2106863296059105,0.0005532274662982672,-0.0011650487167571555
structure_main,20260716,reference_a_odd,9,-0.34868103074301926,-0.00080404486799035,0.04973617817237774,4.999629163648933e-05,-9.637702805775916e-05
interaction,20260716,reference_a_odd,9,0.8248404640587745,-0.0008877119152937984,0.1503121197178104,-6.53078022878617e-05,0.0003032269869436277
P-H_minus_P-L,20260716,reference_a_odd,9,-4.781679848162314,-0.0023332231449970653,-0.2858423894648157,0.0005858813674421981,-0.0013166622102289693
H-H_minus_H-L,20260716,reference_a_odd,9,-3.9568393841035396,-0.0032209350602908637,-0.13553026974700533,0.0005205735651543364,-0.0010134352232853416
H-L_minus_P-L,20260716,reference_a_odd,9,-0.7611012627724065,-0.0003601889103435063,-0.025419881686527424,8.265019278042018e-05,-0.000247990521529573
H-H_minus_P-H,20260716,reference_a_odd,9,0.06373920128636801,-0.0012479008256373048,0.12489223803128296,1.734239049255848e-05,5.523646541405469e-05
strength_main,20260716,reference_a_odd,10,-5.488275089749765,-0.004314777087062627,-0.23202273667824785,0.0008682183033670299,-0.0010709517522400347
structure_main,20260716,reference_a_odd,10,-1.5371037693779868,-0.0017194599971405156,-0.027190664610659665,0.0002645849817781709,-0.00034482163607663097
interaction,20260716,reference_a_odd,10,-0.6699790716926879,-0.0024457810038263084,0.035054727205768854,0.00020313462300691754,-0.00017516779485049483
P-H_minus_P-L,20260716,reference_a_odd,10,-5.15328555390342,-0.0030918865851494726,-0.24955010028113223,0.0007666509918635711,-0.0009833678548147873
H-H_minus_H-L,20260716,reference_a_odd,10,-5.823264625596108,-0.005537667588975781,-0.21449537307536337,0.0009697856148704886,-0.001158535649665282
H-L_minus_P-L,20260716,reference_a_odd,10,-1.2021142335316428,-0.0004965694952273614,-0.04471802821354409,0.00016301767027471215,-0.00025723773865138355
H-H_minus_P-H,20260716,reference_a_odd,10,-1.8720933052243307,-0.0029423504990536697,-0.009663301007775238,0.0003661522932816297,-0.0004324055335018784
strength_main,20260716,reference_a_odd,11,-4.934454100441144,-0.003956403410479314,-0.18628156639028495,0.000801647242042236,-0.0006838822437202907
structure_main,20260716,reference_a_odd,11,-2.2097952317911487,-0.001952306539931059,-0.06277910002295636,0.0003632613952504471,-0.0003404073813726427
interaction,20260716,reference_a_odd,11,-0.0660061544762307,-0.002108178806726646,-0.058940758191794396,0.00012024209718219936,-0.00017239622320630588
P-H_minus_P-L,20260716,reference_a_odd,11,-4.901451023203029,-0.002902314007116047,-0.15681118729438775,0.0007415261934511364,-0.0005976841321171378
H-H_minus_H-L,20260716,reference_a_odd,11,-4.967457177679259,-0.005010492813842693,-0.21575194548618215,0.0008617682906333357,-0.0007700803553234437
H-L_minus_P-L,20260716,reference_a_odd,11,-2.1767921545530333,-0.0008982171365677916,-0.033308720927059166,0.0003031403466593474,-0.00025420926976948977
H-H_minus_P-H,20260716,reference_a_odd,11,-2.242798309029264,-0.0030063959432944376,-0.09224947911885356,0.0004233824438415468,-0.00042660549297579564
strength_main,20260716,reference_a_odd,13,0.03707108225881228,1.0543918906202876e-05,-0.023853991678827836,1.185013388749212e-06,-4.088884452357888e-06
structure_main,20260716,reference_a_odd,13,0.3857517846948184,0.00025429765988804753,0.004994344336420674,2.015916834352538e-06,-5.74896257603541e-05
interaction,20260716,reference_a_odd,13,1.0341022231348092,0.0006851144975689172,-0.0016599140898827872,-5.481950211105868e-06,-0.00015238256310112774
P-H_minus_P-L,20260716,reference_a_odd,13,-0.4799800293085923,-0.0003320133298783112,-0.023024034633886442,3.925988494302146e-06,7.210239709820598e-05
H-H_minus_H-L,20260716,reference_a_odd,13,0.5541221938262169,0.00035310116769060595,-0.02468394872376923,-1.555961716803722e-06,-8.028016600292176e-05
H-L_minus_P-L,20260716,reference_a_odd,13,-0.13129932687258616,-8.825958889635555e-05,0.005824301381362071,4.756891939905472e-06,1.870165579020977e-05
H-H_minus_P-H,20260716,reference_a_odd,13,0.902802896262223,0.0005968549086725616,0.004164387291479284,-7.250582712003961e-07,-0.00013368090731091797
strength_main,20260716,reference_b_even,1,-4.3964364525812485,-0.003395843714376512,-0.2045752641505409,0.0006013442325638607,-0.0008484862300974783
structure_main,20260716,reference_b_even,1,-1.4781217754167462,-0.0014573671957041068,-0.041017005674764795,0.00020915908680763096,-0.0003197016194462776
interaction,20260716,reference_b_even,1,-0.46998104272000507,-0.0016996741401830162,0.026888470354516497,0.0001446656824555248,-0.00011261334293521941
P-H_minus_P-L,20260716,reference_b_even,1,-4.1614459312212455,-0.0025460066442849483,-0.21801949932779918,0.0005290113913360983,-0.0007921795586298686
H-H_minus_H-L,20260716,reference_b_even,1,-4.631426973941251,-0.0042456807844679645,-0.19113102897328269,0.0006736770737916231,-0.000904792901565088
H-L_minus_P-L,20260716,reference_b_even,1,-1.2431312540567436,-0.0006075301256126542,-0.05446124085202303,0.00013682624557986856,-0.0002633949479786679
H-H_minus_P-H,20260716,reference_b_even,1,-1.7131122967767487,-0.0023072042657956704,-0.027572770497506532,0.00028149192803539336,-0.0003760082909138873
strength_main,20260716,reference_b_even,2,0.13240260500021606,4.1735737720483e-05,-0.02279782843449399,4.2633098928490654e-05,-4.311776137910783e-05
structure_main,20260716,reference_b_even,2,0.42678001083697215,0.00015690601144280336,-0.00026162836225462893,9.300008969148621e-06,-6.224989192560315e-05
interaction,20260716,reference_b_even,2,1.206528799733583,0.0004477287677300268,0.01037189403303113,-5.219342710915953e-06,-0.00015600607730448246
P-H_minus_P-L,20260716,reference_b_even,2,-0.4708617948665754,-0.0001821286461445304,-0.02798377545100955,4.524277028394863e-05,3.48852772731334e-05
H-H_minus_H-L,20260716,reference_b_even,2,0.7356670048670075,0.0002656001215854964,-0.017611881417978422,4.002342757303268e-05,-0.00012112080003134906
H-L_minus_P-L,20260716,reference_b_even,2,-0.17648438902981933,-6.695837242221003e-05,-0.005447575378770192,1.1909680324606597e-05,1.575314672663808e-05
H-H_minus_P-H,20260716,reference_b_even,2,1.0300444107037636,0.00038077039530781676,0.0049243186542609375,6.6903376136906445e-06,-0.00014025293057784438
strength_main,20260716,reference_b_even,4,-3.1016291998840098,-0.0016197416116220387,-0.1798745777862294,0.00024792025214992464,-0.001331820159975905
structure_main,20260716,reference_b_even,4,0.519098785824764,-0.000791176011437078,0.08374060973042541,-7.273725350387394e-05,0.00016362132009817287
interaction,20260716,reference_b_even,4,2.2377820151085963,-0.0005115095906488287,0.2070549344585868,-0.00024252134608104825,0.0009321459365310147
P-H_minus_P-L,20260716,reference_b_even,4,-4.220520207438308,-0.0013639868162975688,-0.2834020450155228,0.00036918092519044876,-0.0017978931282414123
H-H_minus_H-L,20260716,reference_b_even,4,-1.9827381923297116,-0.0018754964069463975,-0.076347110556936,0.0001266595791094005,-0.0008657471917103976
H-L_minus_P-L,20260716,reference_b_even,4,-0.5997922217295342,-0.0005354212161127192,-0.019786857498867993,4.852341953665018e-05,-0.0003024516481673345
H-H_minus_P-H,20260716,reference_b_even,4,1.6379897933790621,-0.001046930806761548,0.1872680769597188,-0.00019399792654439807,0.0006296942883636802
strength_main,20260716,reference_b_even,5,-1.450591580515327,-0.002197284288466328,-0.19586819940340017,-0.0005207023496041074,-0.0026619370910339057
structure_main,20260716,reference_b_even,5,-0.038379342212512935,-0.005297613694441372,0.08430968292206509,0.0004266491305315867,0.000303114895359613
interaction,20260716,reference_b_even,5,0.31127039289428193,-0.009113675639028429,0.18356595268421227,0.0008388737041968852,0.0014445656270254403
P-H_minus_P-L,20260716,reference_b_even,5,-1.606226776962468,0.0023595535310478866,-0.28765117574550625,-0.00094013920170255,-0.003384219904546626
H-H_minus_H-L,20260716,reference_b_even,5,-1.2949563840681861,-0.0067541221079805425,-0.10408522306129397,-0.00010126549750566483,-0.0019396542775211856
H-L_minus_P-L,20260716,reference_b_even,5,-0.1940145386596539,-0.0007407758749271576,-0.007473293420040994,7.2122784331440926e-06,-0.00041916791815310717
H-H_minus_P-H,20260716,reference_b_even,5,0.11725585423462803,-0.009854451513955587,0.17609265926417128,0.0008460859826300293,0.0010253977088723332
strength_main,20260716,reference_b_even,7,-2.8535897783213993,-0.003478218665423749,-0.2086334228746557,-0.0001295759720960632,-0.002072977276839083
structure_main,20260716,reference_b_even,7,0.28870773430225727,-0.003176408620346516,0.07496032497524174,0.0001375580468447879,0.00020715980281238444
interaction,20260716,reference_b_even,7,1.7807038086034082,-0.00378440567417615,0.18059352604699397,0.0002316537720616907,0.0014499544267891906
P-H_minus_P-L,20260716,reference_b_even,7,-3.7439416826231033,-0.0015860158283357295,-0.2989301858981527,-0.00024540285812690854,-0.0027979544902336784
H-H_minus_H-L,20260716,reference_b_even,7,-1.9632378740196952,-0.0053704215025118796,-0.11833665985115871,-1.3749086065217853e-05,-0.0013480000634444878
H-L_minus_P-L,20260716,reference_b_even,7,-0.6016441699994468,-0.0012842057832583853,-0.015336438048255241,2.173116081394255e-05,-0.0005178174105822109
H-H_minus_P-H,20260716,reference_b_even,7,1.1790596386039613,-0.005068611457434535,0.16525708799873873,0.00025338493287563324,0.0009321370162069798
strength_main,20260716,reference_b_even,8,-3.0509412509305918,-0.0028298809785618495,-0.20241433986968338,-2.8250200557522476e-05,-0.0018249862150696572
structure_main,20260716,reference_b_even,8,0.36944819375973736,-0.002315786026872102,0.07536447729572138,5.925229925196618e-05,0.00019289710689918138
interaction,20260716,reference_b_even,8,2.0695014409174988,-0.002427603959467728,0.19339342900749623,7.401316543109715e-05,0.0013202873451518826
P-H_minus_P-L,20260716,reference_b_even,8,-4.085691971389341,-0.0016160789988279856,-0.29911105437343155,-6.525678327307105e-05,-0.0024851298876455985
H-H_minus_H-L,20260716,reference_b_even,8,-2.0161905304718424,-0.0040436829582957134,-0.10571762536593532,8.7563821580261e-06,-0.0011648425424937159
H-L_minus_P-L,20260716,reference_b_even,8,-0.665302526699012,-0.001101984047138238,-0.021332237208026683,2.2245716536417603e-05,-0.00046724656567675993
H-H_minus_P-H,20260716,reference_b_even,8,1.4041989142184867,-0.003529588006605966,0.17206119179946955,9.625888196751475e-05,0.0008530407794751227
strength_main,20260716,reference_b_even,9,-4.365940176516972,-0.0027618186913146436,-0.2106863296059105,0.0005529757690965198,-0.0011650487231236184
structure_main,20260716,reference_b_even,9,-0.3458900858462739,-0.0008004693470756719,0.04973617817237774,4.972398892277852e-05,-9.637700895837042e-05
interaction,20260716,reference_b_even,9,0.8216232987839263,-0.0008869523111190158,0.1503121197178104,-6.578206375706941e-05,0.00030322700695251115
P-H_minus_P-L,20260716,reference_b_even,9,-4.776751825908934,-0.0023183425357551357,-0.2858423894648157,0.0005858668009750545,-0.001316662226599874
H-H_minus_H-L,20260716,reference_b_even,9,-3.955128527125008,-0.0032052948468741516,-0.13553026974700533,0.0005200847372179851,-0.0010134352196473628
H-L_minus_P-L,20260716,reference_b_even,9,-0.756701735238237,-0.00035699319151616393,-0.025419881686527424,8.261502080131322e-05,-0.000247990512434626
H-H_minus_P-H,20260716,reference_b_even,9,0.06492156354568923,-0.0012439455026351798,0.12489223803128296,1.6832957044243813e-05,5.523649451788515e-05
strength_main,20260716,reference_b_even,10,-5.4730567850909075,-0.004287281773231233,-0.23202273667824785,0.0008680602186359465,-0.0010709517348459485
structure_main,20260716,reference_b_even,10,-1.5298151355871639,-0.0017092837539224304,-0.027190664610659665,0.00026446583797223866,-0.00034482164051041764
interaction,20260716,reference_b_even,10,-0.6875233400562459,-0.002439513542842442,0.035054727205768854,0.00020328114624135196,-0.0001751677859829215
P-H_minus_P-L,20260716,reference_b_even,10,-5.129295115062785,-0.0030675250018099565,-0.24955010028113223,0.0007664196455152705,-0.0009833678418544878
H-H_minus_H-L,20260716,reference_b_even,10,-5.816818455119031,-0.005507038544652398,-0.21449537307536337,0.0009697007917566225,-0.0011585356278374093
H-L_minus_P-L,20260716,reference_b_even,10,-1.1860534655590405,-0.0004895269825012649,-0.04471802821354409,0.00016282526485156268,-0.0002572377475189569
H-H_minus_P-H,20260716,reference_b_even,10,-1.8735768056152864,-0.002929040525343707,-0.009663301007775238,0.00036610641109291464,-0.0004324055335018784
strength_main,20260716,reference_b_even,11,-4.929989064953261,-0.00394411395379568,-0.18628156639028495,0.0008016599022084847,-0.0006838822473582695
structure_main,20260716,reference_b_even,11,-2.2060269502063936,-0.001946063768881845,-0.06277910002295636,0.000363219078280963,-0.0003404073859201162
interaction,20260716,reference_b_even,11,-0.07531536173353182,-0.002105832593940815,-0.058940758191794396,0.00012046931078657508,-0.0001723962286632741
P-H_minus_P-L,20260716,reference_b_even,11,-4.8923313840864955,-0.0028911976568253284,-0.15681118729438775,0.0007414252468151972,-0.0005976841330266325
H-H_minus_H-L,20260716,reference_b_even,11,-4.967646745820027,-0.0049970302507661435,-0.21575194548618215,0.0008618945576017722,-0.0007700803616899066
H-L_minus_P-L,20260716,reference_b_even,11,-2.1683692693396273,-0.0008931474719114929,-0.033308720927059166,0.00030298442288767546,-0.00025420927158847917
H-H_minus_P-H,20260716,reference_b_even,11,-2.243684631073159,-0.002998980065852308,-0.09224947911885356,0.00042345373367425054,-0.00042660550025175326
strength_main,20260716,reference_b_even,13,0.036647623253378114,1.073566582632246e-05,-0.023853991678827836,1.1780794011428952e-06,-4.088920832145959e-06
structure_main,20260716,reference_b_even,13,0.3821189144758552,0.00025698690540876257,0.004994344336420674,1.993783371290192e-06,-5.7489633036311716e-05
interaction,20260716,reference_b_even,13,1.024180617225035,0.0006922929505372988,-0.0016599140898827872,-5.4944976000115275e-06,-0.00015238251944538206
P-H_minus_P-L,20260716,reference_b_even,13,-0.47544268535914025,-0.00033541080944232693,-0.023024034633886442,3.925328201148659e-06,7.210233889054507e-05
H-H_minus_H-L,20260716,reference_b_even,13,0.5487379318658947,0.00035688214109497185,-0.02468394872376923,-1.5691693988628685e-06,-8.028018055483699e-05
H-L_minus_P-L,20260716,reference_b_even,13,-0.12997139413666137,-8.91595698597758e-05,0.005824301381362071,4.741032171295956e-06,1.8701626686379313e-05
H-H_minus_P-H,20260716,reference_b_even,13,0.8942092230883736,0.000603133380677523,0.004164387291479284,-7.534654287155718e-07,-0.00013368089275900275
strength_main,20260717,reference_a_odd,1,-4.838174582481158,-0.004400095081159683,-0.2722139991988526,0.0008460643221042119,-0.0007507087120757205
structure_main,20260717,reference_a_odd,1,-2.481252730178836,-0.0023715562835637805,-0.07310898441137709,0.00044475898175733164,-0.0003971631795138819
interaction,20260717,reference_a_odd,1,0.5119288108172215,-0.0019125834958101384,0.010194601419980742,0.0002823656104737893,0.0002846286770363804
P-H_minus_P-L,20260717,reference_a_odd,1,-5.094138987889769,-0.003443803333254558,-0.27731129990884296,0.0007048815168673173,-0.0008930230505939107
H-H_minus_H-L,20260717,reference_a_odd,1,-4.582210177072548,-0.0053563868290646965,-0.2671166984888622,0.0009872471273411065,-0.0006083943735575303
H-L_minus_P-L,20260717,reference_a_odd,1,-2.7372171355874464,-0.0014152645356587668,-0.07820628512136746,0.000303576176520437,-0.0005394775180320721
H-H_minus_P-H,20260717,reference_a_odd,1,-2.225288324770225,-0.003327848031468905,-0.06801168370138672,0.0005859417869942263,-0.0002548488409956917
strength_main,20260717,reference_a_odd,2,-2.3611107149702413,-0.0008180692950124913,-0.02644139730959197,6.541486982314382e-05,0.0002520144626032561
structure_main,20260717,reference_a_odd,2,-1.2629978357933371,-0.0004539061462838223,-0.021271735460322683,5.060707735538017e-05,0.0001263369485968724
interaction,20260717,reference_a_odd,2,-0.44812875724585943,-0.0003825169512996496,0.01795933637153879,-5.542124199564569e-05,0.00013005873188376427
P-H_minus_P-L,20260717,reference_a_odd,2,-2.1370463363473116,-0.0006268108193626665,-0.035421065495361365,9.312549082096666e-05,0.00018698509666137397
H-H_minus_H-L,20260717,reference_a_odd,2,-2.585175093593171,-0.001009327770662316,-0.017461729123822576,3.7704248825320974e-05,0.00031704382854513824
H-L_minus_P-L,20260717,reference_a_odd,2,-1.0389334571704074,-0.0002626476706339975,-0.03025140364609208,7.831769835320301e-05,6.130758265499026e-05
H-H_minus_P-H,20260717,reference_a_odd,2,-1.4870622144162668,-0.0006451646219336471,-0.01229206727455329,2.2896456357557327e-05,0.00019136631453875452
strength_main,20260717,reference_a_odd,4,-2.8583957416976546,-0.0018123354331011088,-0.19289213831466923,0.0003372396095073782,-0.0011155379525007447
structure_main,20260717,reference_a_odd,4,-0.9864131776550464,-0.0015763999420895791,0.048575608271215764,0.00020203191525069997,-0.0003107262364210328
interaction,20260717,reference_a_odd,4,1.8942365896764572,-0.0005365473171166091,0.17058243980377646,8.257247100118548e-05,0.001144409481639741
P-H_minus_P-L,20260717,reference_a_odd,4,-3.8055140365358833,-0.0015440617745428042,-0.27818335821655754,0.00029595337400678545,-0.0016877426933206152
H-H_minus_H-L,20260717,reference_a_odd,4,-1.911277446859426,-0.0020806090916594133,-0.10760091841278108,0.00037852584500797093,-0.0005433332116808742
H-L_minus_P-L,20260717,reference_a_odd,4,-1.933531472493275,-0.0013081262835312746,-0.036715611630672496,0.00016074567975010723,-0.0008829309772409033
H-H_minus_P-H,20260717,reference_a_odd,4,-0.03929488281681781,-0.0018446736006478837,0.13386682817310397,0.0002433181507512927,0.0002614785043988377
strength_main,20260717,reference_a_odd,5,-1.3163213874527928,-0.005659779041405466,-0.20477946874057817,-0.0003450355725362897,-0.002279329753946513
structure_main,20260717,reference_a_odd,5,-1.0764608499157022,-0.007690896206822284,0.06626720611400738,0.00039766100235283375,-0.0009558310266584158
interaction,20260717,reference_a_odd,5,-0.5066954879962093,-0.010683892850365861,0.13486975648656185,0.0007969926809892058,0.0010418991441838443
P-H_minus_P-L,20260717,reference_a_odd,5,-1.0629736434546881,-0.00031783261622253534,-0.27221434698385916,-0.0007435319130308926,-0.002800279326038435
H-H_minus_H-L,20260717,reference_a_odd,5,-1.5696691314508975,-0.011001725466588397,-0.1373445904972973,5.346076795831323e-05,-0.0017583801818545908
H-L_minus_P-L,20260717,reference_a_odd,5,-0.8231131059175976,-0.0023489497816393534,-0.0011676721292736003,-8.353381417691708e-07,-0.001476780598750338
H-H_minus_P-H,20260717,reference_a_odd,5,-1.329808593913807,-0.013032842632005215,0.13370208435728825,0.0007961573428474367,-0.00043488145456649363
strength_main,20260717,reference_a_odd,7,-2.03521429369429,-0.0035336333964555156,-0.23639698757630234,-0.0001877742470242083,-0.0016212582340813242
structure_main,20260717,reference_a_odd,7,-1.010662286427026,-0.003601623123345332,0.04762592309200553,0.0002912582131102681,-0.0005321397984516807
interaction,20260717,reference_a_odd,7,0.943515505851046,-0.0025018935505694007,0.17316791340687998,0.0005878907395526767,0.0014429696166189387
P-H_minus_P-L,20260717,reference_a_odd,7,-2.506972046619813,-0.0022826866211708152,-0.32298094427974233,-0.00048171961680054665,-0.0023427430423907936
H-H_minus_H-L,20260717,reference_a_odd,7,-1.563456540768767,-0.004784580171740216,-0.14981303087286235,0.00010617112275213003,-0.0008997734257718548
H-L_minus_P-L,20260717,reference_a_odd,7,-1.482420039352549,-0.002350676348060521,-0.03895803361143457,-2.687156666070223e-06,-0.00125362460676115
H-H_minus_P-H,20260717,reference_a_odd,7,-0.538904533501503,-0.0048525698986299215,0.1342098797954454,0.0005852035828866065,0.00018934500985778868
strength_main,20260717,reference_a_odd,8,-2.2583741203800725,-0.0027061670122592307,-0.22565145351186144,-8.104185690172017e-05,-0.0014386333314178046
structure_main,20260717,reference_a_odd,8,-1.0186632216261962,-0.0028332825540740014,0.04610747181276176,0.00025996958720497787,-0.0004515310974966269
interaction,20260717,reference_a_odd,8,1.344695484686965,-0.0015735892811262753,0.1839122359317411,0.0004732264205813408,0.0013927563777542673
P-H_minus_P-L,20260717,reference_a_odd,8,-2.930721862723555,-0.0019193723716960376,-0.317607571477732,-0.00031765506719239056,-0.0021350115202949382
H-H_minus_H-L,20260717,reference_a_odd,8,-1.58602637803659,-0.003492961652822313,-0.1336953355459909,0.00015557135338895023,-0.0007422551425406709
H-L_minus_P-L,20260717,reference_a_odd,8,-1.6910109639696786,-0.0020464879135108083,-0.045848646153108796,2.3356376914307475e-05,-0.0011479092863737606
H-H_minus_P-H,20260717,reference_a_odd,8,-0.34631547928271367,-0.0036200771946370836,0.1380635897786323,0.0004965827974956483,0.00024484709138050675
strength_main,20260717,reference_a_odd,9,-5.145143616124331,-0.004706261358429109,-0.24407896359567238,0.0009182287685689516,-0.0012510444848885527
structure_main,20260717,reference_a_odd,9,-2.3672364718199845,-0.002723883783670611,0.003862473452456383,0.00047496123443124816,-0.0005481917814904591
interaction,20260717,reference_a_odd,9,0.6249143371576196,-0.0027752318514890906,0.06414342862816358,0.00033699262712616473,0.0003616043359215837
P-H_minus_P-L,20260717,reference_a_odd,9,-5.457600784703142,-0.003318645432684564,-0.2761506779097541,0.0007497324550058693,-0.0014318466528493445
H-H_minus_H-L,20260717,reference_a_odd,9,-4.832686447545522,-0.006093877284173654,-0.21200724928159054,0.001086725082132034,-0.0010702423169277608
H-L_minus_P-L,20260717,reference_a_odd,9,-2.6796936403987948,-0.0013362678579260656,-0.02820924086162535,0.0003064649208681658,-0.000728993949451251
H-H_minus_P-H,20260717,reference_a_odd,9,-2.054779303241175,-0.004111499709415156,0.03593418776653823,0.0006434575479943305,-0.00036738961352966726
