variant,seed,reference,pair_key,folder,psnr,psnr_gain,ssim,ssim_gain,gradient_ratio_to_noisy,residual_mean,residual_std,brightness_bias_to_reference,prediction_mean_minus_noisy_mean,removed_residual_std,noisy_psnr,noisy_ssim
H-H,20260716,reference_a_odd,folder_1_frame_101,1,52.36264156710702,-6.19258686497195,0.9934038693035349,-0.0050246305767795985,0.22759167158684693,-0.0013217662926763296,0.002014211378991604,-0.001321766059845686,-0.0012772581540048122,0.002145281760022044,58.55522843207897,0.9984284998803145
H-H,20260716,reference_b_even,folder_1_frame_101,1,52.36346474874151,-6.211774189911324,0.9934047847920107,-0.005030325681209091,0.22759167158684693,-0.0013242645654827356,0.0020122963469475508,-0.0013242645654827356,-0.0012772581540048122,0.002145281760022044,58.57523893865283,0.9984351104732198
H-H,20260716,reference_a_odd,folder_1_frame_111,1,52.36543400750335,-6.0435194213647065,0.9934112543093847,-0.004968544340390291,0.2275861863421463,-0.0013178299413993955,0.0020158635452389717,-0.0013178300578147173,-0.0013076531467959285,0.002136280992999673,58.40895342886806,0.998379798649775
H-H,20260716,reference_b_even,folder_1_frame_111,1,52.36615998204033,-6.0651078586737555,0.9934119429330415,-0.004975600219586429,0.2275861863421463,-0.0013203284470364451,0.002013987395912409,-0.0013203284470364451,-0.0013076531467959285,0.002136280992999673,58.431267840714085,0.9983875431526279
H-H,20260716,reference_a_odd,folder_1_frame_121,1,52.32749652304438,-5.794831577359226,0.9933640536641193,-0.00491058405082323,0.227745110749222,-0.0013171975733712316,0.0020288575906306505,-0.0013171975733712316,-0.0013248780742287636,0.00212982390075922,58.12232810040361,0.9982746377149425
H-H,20260716,reference_b_even,folder_1_frame_121,1,52.32918548197596,-5.82100824466778,0.9933658929421787,-0.004919136512100519,0.227745110749222,-0.0013196960790082812,0.0020266722422093153,-0.0013196959625929594,-0.0013248780742287636,0.00212982390075922,58.15019372664374,0.9982850294542792
H-H,20260716,reference_a_odd,folder_1_frame_131,1,52.23421889820203,-5.613577278692098,0.9932371050265597,-0.0049254986367739395,0.22643727429988506,-0.0013282557483762503,0.0020528133027255535,-0.001328255864791572,-0.0012784756254404783,0.002147544641047716,57.84779617689413,0.9981626036633336
H-H,20260716,reference_b_even,folder_1_frame_131,1,52.23720828714049,-5.644115111034253,0.9932409234315976,-0.004934849255683771,0.22643727429988506,-0.0013307543704286218,0.0020501913968473673,-0.0013307543704286218,-0.0012784756254404783,0.002147544641047716,57.88132339817474,0.9981757726872814
H-H,20260716,reference_a_odd,folder_1_frame_141,1,52.398279179419596,-5.249523008453451,0.9934614377264812,-0.004622051934271121,0.2315377441132206,-0.0012953614350408316,0.002019583946093917,-0.0012953614350408316,-0.0013519707135856152,0.00212296936661005,57.64780218787305,0.9980834896607523
H-H,20260716,reference_b_even,folder_1_frame_141,1,52.40116123513416,-5.2781602961158285,0.9934649136504135,-0.004631780953141207,0.2315377441132206,-0.001297860057093203,0.002017032587900758,-0.0012978599406778812,-0.0013519707135856152,0.00212296936661005,57.67932153124999,0.9980966946035547
H-H,20260716,reference_a_odd,folder_1_frame_151,1,52.268495309941,-5.119836191614347,0.9932818456092812,-0.0046886195087897375,0.22830330292051068,-0.0013102293014526367,0.002052950905635953,-0.0013102293014526367,-0.0013171834871172905,0.0021394884679466486,57.38833150155535,0.997970465118071
H-H,20260716,reference_b_even,folder_1_frame_151,1,52.27151772362547,-5.147433500190701,0.9932855212077025,-0.004698223669994728,0.22830330292051068,-0.0013127278070896864,0.0020503480918705463,-0.0013127278070896864,-0.0013171834871172905,0.0021394884679466486,57.41895122381617,0.9979837448776973
