run_seed,model,folder,pre_mean_shift_DN,pre_mean_absolute_shift_DN,post_mean_shift_DN,post_mean_absolute_shift_DN,raw_temporal_variance_DN2,output_temporal_variance_DN2,corrected_temporal_variance_DN2,raw_temporal_reduction,corrected_temporal_reduction,raw_mean_centered_temporal_variance_DN2,output_mean_centered_temporal_variance_DN2,corrected_mean_centered_temporal_variance_DN2,mean_centered_temporal_reduction,corrected_mean_centered_temporal_reduction,gradient_ratio,corrected_gradient_ratio,high_gradient_retention,corrected_high_gradient_retention,row_energy_reduction,corrected_row_energy_reduction,column_energy_reduction,corrected_column_energy_reduction,radial_acf_r1,corrected_radial_acf_r1,psd_energy_ratio,corrected_psd_energy_ratio,proxy_mean_PSNR,corrected_proxy_mean_PSNR,proxy_mean_SSIM,corrected_proxy_mean_SSIM,proxy_median_PSNR,corrected_proxy_median_PSNR,proxy_median_SSIM,corrected_proxy_median_SSIM,removed_structure_correlation,corrected_removed_structure_correlation,corrected_below_zero_ratio,corrected_above_65535_ratio
20260719,G,2,-0.7511071362893563,0.7511071362893563,-3.24858701787889e-07,1.3819547020830215e-05,2028.6426129181064,1958.3013874123026,1958.3076049203282,0.03467403526766166,0.034670970406465274,2018.539874124533,1948.2047454026633,1948.2048655620551,0.03484455750589277,0.034844497978016475,0.9869216084480286,0.9869217276573181,0.986658907010325,0.9866589572256969,0.005589083571381992,0.005589056372833023,0.019926341889948906,0.019926307730044668,0.04671632480571384,0.046716325333266306,0.9651554445458685,0.9651555032950728,63.413800330479816,63.414990561867256,0.9994708872868826,0.9994712757482432,63.350785378151116,63.3484941960666,0.9994634602060133,0.9994631628099166,0.02854656999442267,0.028545973670204856,0.0,0.0
20260719,CG_NC,2,-3.0809351780073486,3.0809351780073486,-5.925638834014535e-07,1.2341063120402396e-05,2028.6426129181064,1938.382407731123,1938.3924378592806,0.0444929060506859,0.04448796179481074,2018.539874124533,1928.28977404314,1928.28969404317,0.044710585725008634,0.04471062535760206,0.9869211316108704,0.9869212508201599,0.9850396315413504,0.9850396061450706,0.007991471122757998,0.007991493354503443,0.02248731118963876,0.022487343748835098,0.04857146050329474,0.04857145973247659,0.955289416286483,0.9552893741650278,63.41709737844603,63.43784826298406,0.9994714046054247,0.9994758896020423,63.36569084158613,63.37189375841699,0.9994661692546307,0.9994678400927739,0.008697892490597929,0.008698161210603914,0.0,0.0
20260720,G,2,-4.906046769320969,4.906046769320969,-2.1592233952105744e-06,1.1345697321303306e-05,2028.6426129181064,1903.5143048496304,1903.5461141012784,0.06168080433274781,0.06166512426596549,2018.539874124533,1893.4433435978556,1893.4433747234127,0.06197377229465606,0.06197375687481843,0.9859851002693176,0.9859851002693176,0.9885699083929862,0.9885699141648681,0.008403495569069941,0.00840348805277169,0.01402367038730179,0.014023668129898526,0.05517608903627262,0.0551760891207604,0.9380262298069421,0.9380262443852031,63.449307151597644,63.502667027689185,0.9994745659842171,0.9994855902104615,63.405983959043255,63.43567590633695,0.9994709154948117,0.9994774535216007,0.022978492746065497,0.022978400573611352,0.0,0.0
20260720,CG_NC,2,-4.041022194365633,4.041022194365633,-1.3806613487759023e-05,1.5756897691971972e-05,2028.6426129181064,1867.0553368878116,1866.9410871126536,0.07965290436143369,0.07970922269687153,2018.539874124533,1856.8382657056743,1856.8383361303074,0.08010820617996994,0.08010817129107128,0.9801927208900452,0.9801927208900452,0.9816180146937428,0.9816180320093882,0.005076966458320564,0.005076954953468826,0.01081397756706437,0.010813961146155626,0.059126462576972016,0.059126462377599005,0.9198917957323376,0.9198918283816685,63.582327851275,63.61983263105828,0.9994881149015368,0.9994958281672827,63.53288493547652,63.5504147612906,0.9994836029564474,0.9994876223371111,0.008313284047324348,0.008312940573835156,0.0,0.0
20260721,G,2,6.341750324270688,6.341750324270688,2.850330201908946e-06,1.1327144457027315e-05,2028.6426129181064,2005.7307379387485,2005.6871808577778,0.011294189934421328,0.011315660981461972,2018.539874124533,1995.5844320362648,1995.5844584311894,0.011372300533931345,0.011372287457685037,1.006234049797058,1.006234049797058,0.9978241604378867,0.997824167941333,0.007052251906658258,0.007052245449151173,0.010364060618240911,0.01036405683796171,0.03779062727321262,0.03779062738191768,0.9886276986669189,0.9886277135056066,62.97045163382722,63.051394736523946,0.9994403107925686,0.9994553319226336,62.885517575436516,62.99176567845613,0.9994266942891349,0.9994474882287255,0.014183675033550254,0.014183647367377117,0.0,0.0
20260721,CG_NC,2,8.014318397211609,8.014318397211609,5.021996912546456e-06,1.2633887236006558e-05,2028.6426129181064,2010.368176925499,2010.3456654387314,0.0090082086791623,0.009019305501551944,2018.539874124533,2000.2429023862605,2000.242935887614,0.009064458905578054,0.009064442308752807,0.9969310760498047,0.9969310164451599,0.9952928953200294,0.9952929051322286,0.001629375509580533,0.0016293656828582082,0.006367358505308229,0.006367352660772041,0.04044279728979994,0.04044279756244195,0.9909355440355557,0.9909355571889126,63.144835415488544,63.28001360727394,0.9994300612336195,0.9994580417030015,63.04810723980507,63.21599994670163,0.9994145044341721,0.9994497710998759,-0.01053027852231796,-0.010530385607089465,0.0,0.0
20260719,G,5,-1.5943186884187162,1.5943186884187162,-6.172404391691089e-06,6.334353820420801e-05,78390.62112525519,76615.46031821783,76615.54849219121,0.022645066228024313,0.022643941425437908,78132.00225109518,76356.92957850863,76356.92954049917,0.022718893941588103,0.022718894428065517,0.9938322305679321,0.9938322305679321,0.9976413043308029,0.9976412976946655,0.001769024817139142,0.0017690341607831117,0.0008777498909281478,0.0008777496624001735,0.1554892562558744,0.15548925542076153,0.9772811063407114,0.9772811059742021,47.54408282063971,47.544313337263645,0.985037864690223,0.9850382322931855,47.52962680563005,47.52921167960322,0.9849844524791681,0.9849837449662974,0.2722579201591898,0.27225971872758714,0.0,0.0
20260719,CG_NC,5,-5.267892011560034,5.267892011560034,-7.496817270293832e-06,6.716469884850085e-05,78390.62112525519,75967.76730905598,75968.0393136598,0.030907445067030248,0.030903975205458623,78132.00225109518,75709.42165902854,75709.42094129305,0.03100625252481215,0.031006261711002958,0.9919876456260681,0.9919876456260681,0.996499163897852,0.996499158683744,0.00294243298542185,0.0029425440209047693,0.001399662556866188,0.0013997196606946316,0.15794664590007346,0.15794664029320665,0.9689937476184823,0.9689937384407686,47.57841885765992,47.580290035175075,0.9851726788216024,0.9851746509318179,47.56533551161554,47.56505256788868,0.9851208243113743,0.985119463985896,0.4157070917504691,0.4157084829486785,0.0,0.0
20260720,G,5,-15.12232636770932,15.12232636770932,-1.6344380128430203e-05,6.950593502551783e-05,78390.62112525519,75047.95654911947,75048.70015239758,0.042641128851303556,0.042631642980832773,78132.00225109518,74790.08158404395,74790.08127836851,0.04277275086732324,0.04277275477961817,0.9912721514701843,0.9912721514701843,0.9943623214196878,0.994362320945678,0.0039514915763430025,0.003951508671159898,0.002986594389073227,0.002986602082890144,0.1609006716571163,0.16090067115821377,0.9572272499659777,0.9572272452872627,47.610899935147046,47.62524322627982,0.9853524651564598,0.9853539835430505,47.60157029195545,47.60965003686073,0.9853024160017447,0.9852945877715371,0.7903425497171568,0.7903428628440812,0.0,0.0
20260720,CG_NC,5,-0.062279086499474945,0.06291259873192757,3.029391518794e-07,6.529549224069341e-05,78390.62112525519,74911.42882816949,74910.43232119772,0.04438276221241477,0.0443954742812499,78132.00225109518,74651.81347765337,74651.81345747573,0.04454242401541719,0.044542424273667836,0.9915112853050232,0.9915112853050232,0.9975907099435216,0.9975907137356002,0.000816148988128429,0.0008161601422368436,-0.0009964386016172444,-0.0009964428132287484,0.162390218570526,0.16239021886066626,0.9554575763012192,0.955457575991097,47.64162166559932,47.64167842517372,0.9854185926794221,0.9854186679147184,47.625996571251,47.62602665172461,0.985365936721183,0.9853659717679242,-0.5560550707995839,-0.5560548802977119,0.0,0.0
20260721,G,5,-32.00230875238776,32.00230875238776,8.208425715565681e-06,6.56647584401071e-05,78390.62112525519,77927.55744619228,77936.00828304063,0.0059071311391066805,0.005799326956322459,78132.00225109518,77677.38958203282,77677.38961507338,0.0058185206568924785,0.005818520234011193,0.9949837923049927,0.9949837923049927,0.9885000043665786,0.9885000081586572,0.010583726975976315,0.010583748983477248,0.01372716983037725,0.013727185173205814,0.14396132515392723,0.14396132335134143,0.9941814791872047,0.9941814799815387,47.23187495355169,47.286889827699795,0.9846303746056395,0.9845057706428234,47.22804769244388,47.27081463848985,0.9845737164532838,0.9844296478192374,0.9389840453549716,0.9389840226149031,0.0,0.0
20260721,CG_NC,5,-18.89263940560282,18.89263940560282,-1.2234749738126993e-05,6.316001061350107e-05,78390.62112525519,77383.81756451499,77390.8356826982,0.012843418591255928,0.01275389106765068,78132.00225109518,77132.21759269916,77132.21701825791,0.012796096728495243,0.012796104080684212,0.9919131398200989,0.9919131398200989,0.9898958817878033,0.9898958770477049,0.00910763697772854,0.0091076516215024,0.010607093997570649,0.010607105290548757,0.14554453795326006,0.14554453545273985,0.9872039032929828,0.9872038964363249,47.37436753544187,47.394281748417114,0.9847796848492425,0.9847175745475798,47.36591303090739,47.37841003207869,0.9847210014490124,0.9846473742193962,0.904716541085297,0.9047165800167299,0.0,0.0
20260719,G,9,-0.8196916390152182,0.8196916390152182,-3.80471465177834e-07,1.4990068157203496e-05,9785.796742967772,9442.389088598879,9442.392712605231,0.03509245730202515,0.03509208696873012,9777.211280775566,9433.807300581846,9433.80724554922,0.035122896532770786,0.035122902161433656,0.9877802133560181,0.9877802133560181,0.990299268992822,0.9902992633132406,0.005700003477738025,0.005699994037020262,0.010487890603799399,0.010487901208470984,0.03014329925803361,0.030143299175340144,0.9648771020721192,0.9648770973699035,56.5964949697394,56.596795667575755,0.9975242325667972,0.9975245378381888,56.571023498921775,56.56963597723012,0.997509983435745,0.9975093241749975,0.09776379701788651,0.09776449325134913,0.0,0.0
20260719,CG_NC,9,-3.260627486378653,3.260627486378653,-1.3683340512216092e-07,1.3964686077088118e-05,9785.796742967772,9346.73672802028,9346.744787310578,0.04486706872008228,0.04486624514991122,9777.211280775566,9338.159368418002,9338.159313539478,0.044905638197759834,0.04490564381066142,0.9865475296974182,0.9865475296974182,0.9884780533006218,0.9884780468637631,0.008172428886136562,0.008172427390230275,0.011413759578169258,0.011413757866240437,0.03221295085102449,0.03221295120652622,0.9550943611615225,0.9550943556450225,56.6314835819796,56.636394020893384,0.9975457506104406,0.9975490100794714,56.610974471879736,56.60908812719471,0.9975343194222317,0.9975337354237845,0.0752477065665748,0.07524810355806444,0.0,0.0
20260720,G,9,-6.015317177932129,6.015317177932129,-1.4210161043592961e-06,1.3852167712684605e-05,9785.796742967772,9284.415260793212,9284.456646212275,0.051235632145625765,0.05123140301435014,9777.211280775566,9275.871151523428,9275.871179878593,0.05127639312018317,0.051276390220055035,0.9884212613105774,0.9884212613105774,0.9912093355748192,0.9912093386039293,0.007644587929125812,0.007644580330692152,0.008265244067152233,0.008265229539224372,0.034142829715146775,0.03414282998618364,0.9487236059945756,0.948723609109881,56.63686328964189,56.65365498011481,0.9975568702414425,0.9975654760845378,56.62296651733708,56.62714760867626,0.9975481801737425,0.9975496915448717,0.26759540771328905,0.2675951952940928,0.0,0.0
