run_seed,model,folder,frame_index,pre_mean_shift_DN,post_mean_shift_DN,correction_DN,pre_gradient_ratio,post_gradient_ratio,pre_output_input_MAE_DN,post_output_input_MAE_DN
20260719,G,2,1,-0.7505769149865955,-1.9169878214597702e-05,0.7505769149865955,0.9873191714286804,0.9873193502426147,1.827976942062378,1.8569152355194092
20260719,G,2,2,-0.7537659495137632,1.8230173736810684e-05,0.7537659495137632,0.9866325855255127,0.9866325855255127,1.820286750793457,1.849196434020996
20260719,G,2,3,-0.7509201201610267,3.3401884138584137e-06,0.7509201201610267,0.987016499042511,0.9870166182518005,1.818508505821228,1.8483091592788696
20260719,G,2,4,-0.7533310148864985,1.754134427756071e-05,0.7533310148864985,0.9868722558021545,0.9868719577789307,1.8255888223648071,1.8543975353240967
20260719,G,2,5,-0.7502716975286603,-2.7556787244975567e-05,0.7502716975286603,0.9867275357246399,0.9867275357246399,1.8233534097671509,1.8522244691848755
20260719,G,2,6,-0.7537660382222384,1.814146526157856e-05,0.7537660382222384,0.987010657787323,0.987010657787323,1.824025273323059,1.8521466255187988
20260719,G,2,7,-0.7537582877557725,2.5891931727528572e-05,0.7537582877557725,0.9873552322387695,0.9873552322387695,1.82761812210083,1.8557571172714233
20260719,G,2,8,-0.7517364490777254,-2.7464586310088634e-05,0.7517364490777254,0.9871180057525635,0.9871180057525635,1.8184854984283447,1.8481361865997314
20260719,G,2,9,-0.7486847612308338,-2.7534551918506622e-05,0.7486847612308338,0.9868699908256531,0.9868699908256531,1.8200422525405884,1.8492693901062012
20260719,G,2,10,-0.7495544166304171,1.0505551472306252e-05,0.7495544166304171,0.9869962334632874,0.9869961142539978,1.8204233646392822,1.850551962852478
20260719,G,2,11,-0.751316815847531,2.5957589969038963e-05,0.751316815847531,0.986548125743866,0.986548125743866,1.82700777053833,1.8569241762161255
20260719,G,2,12,-0.7516754807438701,-1.887604594230652e-05,0.7516754807438701,0.987097442150116,0.9870975017547607,1.8292280435562134,1.8586273193359375
20260719,G,2,13,-0.7544143598061055,-1.98285561054945e-05,0.7544143598061055,0.9871084094047546,0.9871084094047546,1.8197143077850342,1.848319411277771
20260719,G,2,14,-0.752522335620597,-1.1566677130758762e-05,0.752522335620597,0.9869440793991089,0.9869444966316223,1.8244900703430176,1.8532168865203857
20260719,G,2,15,-0.7524611642584205,-1.9758008420467377e-05,0.7524611642584205,0.9871664047241211,0.9871664047241211,1.825466275215149,1.854990839958191
20260719,G,2,16,-0.7507981436792761,3.3439137041568756e-06,0.7507981436792761,0.9868144392967224,0.9868146181106567,1.8173952102661133,1.8458901643753052
20260719,G,2,17,-0.7511947744060308,2.5928718969225883e-05,0.7511947744060308,0.9867271780967712,0.9867271780967712,1.82334566116333,1.8533148765563965
