variant,source_pair_key,seed,content_p99_target,content_scale,float_clean_mean,float_noisy_mean,float_residual_mean,float_residual_std,preclip_low_ratio,preclip_high_ratio,saved_zero_ratio,saved_saturation_ratio,clean_float_round_trip_max_error_dn,noisy_float_round_trip_max_error_dn,residual_round_trip_max_error_dn,residual_std_after_reload,historical_clean_exact_match,historical_noisy_exact_match,clean_output_sha256,noisy_output_sha256,output_dtype,round_trip_quantization_pass,clipping_gate_pass,brightness_gate_pass,generation_numeric_pass
legacy_unscaled_content,15ms_to_500ms_000,20260715,0.0,1.0,0.0016099727945402265,0.0018390591721981764,0.00022908613027539104,0.0007586702704429626,0.4952507019042969,0.0,0.5001754760742188,0.0,0.5009689331054688,0.5,0.9736179709434509,0.0007587103173136711,True,True,a7568980a831618d8ac8386b48a85aa51240340a797aeb9d0d763aa54cc1884b,274ca05ff00576cc230ba31685f616608e1e0ab82384b8af0e952325312ce8d0,uint16,True,False,False,False
legacy_per_image_p99_0p25,15ms_to_500ms_000,20260715,0.25,3.6994041824316173,0.005937919951975346,0.006166004575788975,0.0002280829503433779,0.001431268290616572,0.49495697021484375,1.52587890625e-05,0.499908447265625,1.52587890625e-05,0.49999237060546875,0.5,0.9785007238388062,0.0014312885468825698,True,True,ff310d7d8cad0a0dbd6e186550bc64ce567b7c2f2d8f511ed1b2afd3b3a1befc,4000353551ca52e2393855c9ec46f41789ecba8d85db2730d9d6fd3ce0e4ea25,uint16,True,False,False,False
