experiment,epoch,train_l1,validation_l1,validation_psnr,is_best
G,1,0.002521207310880224,0.001188495590423162,57.215018247946716,True
G,2,0.001110022283003976,0.0011739001274069087,57.340072403606186,True
G,3,0.001073599138762802,0.001265212703937999,56.63067542182075,False
G,4,0.0010422080646579465,0.0013765166926547948,55.70419089814536,False
G,5,0.0010191459072909008,0.0015575653345037538,54.498163369985726,False
G,6,0.0009970941460536171,0.0015561707182508758,54.53223650679629,False
G,7,0.0009692388218051443,0.0013850796052342297,55.463047092796394,False
G,8,0.0009240835202702632,0.0017320092470966217,53.45316526624892,False
G,9,0.0008992793061770499,0.002033924367517615,52.05176094250801,False
G,10,0.0008910405472852289,0.0021481763444140428,51.68773285955445,False
G,11,0.0008930034950996439,0.002030092840775465,52.10495210305238,False
G,12,0.0008825120407467088,0.002005390948257767,52.20511685884916,False
G,13,0.0008946261500629286,0.0020295953284551064,52.26060322818593,False
G,14,0.0008766064742424835,0.0018453113117820432,53.019031883304955,False
G,15,0.000868693394974495,0.0018371055867825437,53.068709968501686,False
G,16,0.0008680125318157176,0.0018229107571463299,53.16398353250618,False
G,17,0.0008635118937430282,0.0016527667166028395,53.92550163595085,False
G,18,0.0008629967136463771,0.0017487535493957817,53.482421092497994,False
G,19,0.0008596399473026395,0.0017834098424571447,53.312962882539146,False
G,20,0.0008603753956655661,0.0018000374995888425,53.261644477518196,False
G,21,0.000859266739183416,0.0017411677170799584,53.42275603204711,False
G,22,0.0008579293653989832,0.0018077733086692726,53.178424769996575,False
G,23,0.0008527121844235807,0.0017144010575392689,53.62793806679228,False
G,24,0.0008522007571688543,0.0017920072940695616,53.33800979353424,False
G,25,0.0008543117767355094,0.001814821337023352,53.11831192277435,False
G,26,0.0008486040623392909,0.0018331413326434728,53.150976719000404,False
G,27,0.0008627056299398343,0.0017817506992504892,53.25021535107213,False
G,28,0.000848593934206292,0.0018682126294121018,52.92934945913461,False
G,29,0.0008459013987643023,0.0019652285000197906,52.505739032712754,False
G,30,0.0008471265248954297,0.0018774496767526637,52.83502839569353,False
CG_NC,1,0.0026322893080456804,0.0011909274711735293,57.18682867848975,True
CG_NC,2,0.00117951912068141,0.0011728493930596826,57.342814355833916,True
CG_NC,3,0.0011354860694458087,0.0012675242903483156,56.58117829021226,False
CG_NC,4,0.0010982153048583617,0.0014331638494617918,55.29003700843224,False
CG_NC,5,0.0010701931966468692,0.0015924074985564519,54.35711242806198,False
CG_NC,6,0.0010593147133477032,0.0015372912803441924,54.53528816679604,False
CG_NC,7,0.0010302176276066651,0.0016242287402303938,54.21050888452775,False
CG_NC,8,0.0010015182371716947,0.002017680899852998,52.15676006088909,False
CG_NC,9,0.0010231048039471109,0.0021762866934793247,51.484891288300865,False
CG_NC,10,0.000958627953271692,0.002260234297460152,51.1629388271234,False
CG_NC,11,0.0009651491177889208,0.0023238994559257203,50.96982744004991,False
CG_NC,12,0.0009579610452055931,0.0022597545966840326,51.176216940594536,False
CG_NC,13,0.0009510693097642312,0.002322482610813891,50.97373685266218,False
CG_NC,14,0.0009519823411634812,0.0023217483803741317,50.96210160214677,False
CG_NC,15,0.0009528741252142936,0.002100237859134427,51.866904821151344,False
CG_NC,16,0.0009507767984177917,0.0024253047284327894,50.62706955477723,False
CG_NC,17,0.0010572881864694258,0.002406498068012297,50.76310250697992,False
CG_NC,18,0.00093552033106486,0.002197675434792908,51.44728779589009,False
CG_NC,19,0.0009491358196828515,0.002079452014862536,51.94687913421892,False
CG_NC,20,0.0009255566680803895,0.002275213766365479,51.11074962778988,False
CG_NC,21,0.000925469008119156,0.0018880703351181797,52.81974225166516,False
CG_NC,22,0.0009219324173560987,0.0021496285777937016,51.53437169392904,False
CG_NC,23,0.0009241248271428049,0.002097183849431702,51.789729811187485,False
CG_NC,24,0.0009373289855041852,0.00238626173689452,50.68599612896259,False
CG_NC,25,0.0009521857524911562,0.0021072910416027545,51.74394209772094,False
CG_NC,26,0.0009158819110598415,0.0020190600592356464,52.13149590777536,False
CG_NC,27,0.0009127216506749392,0.0021200838019179865,51.75720938658103,False
CG_NC,28,0.0009149949865726133,0.0021181557920530564,51.754307380089394,False
CG_NC,29,0.0009195472009014338,0.0020416147427824447,51.952461438301285,False
CG_NC,30,0.0009255136925882349,0.0020565363900879254,51.983438084268165,False
