experiment,epoch,train_l1,validation_l1,validation_psnr,is_best
G,1,0.01267881399175773,0.0016150500408461334,51.59967702881903,True
G,2,0.0016273880455022057,0.0014734583599373507,52.60621603941306,True
G,3,0.0013973619199047487,0.001640248370086217,54.24540143135266,True
G,4,0.0012493134258935849,0.001193281203412857,57.15722871438051,True
G,5,0.0012693328503519297,0.0016383845249636688,54.27965043548845,False
G,6,0.0012546397295470039,0.0012053112010869524,57.0451777857593,False
G,7,0.0012229274376295506,0.0012377250460016294,56.75621613070496,False
G,8,0.0012290596775710583,0.001276580672054432,56.429059281308426,False
G,9,0.0012877533584833144,0.00118642168927492,57.22999664045807,True
G,10,0.0012032047558265429,0.0012230545687330011,56.91174580500676,False
G,11,0.001192386228746424,0.001285340083249582,56.386766678247696,False
G,12,0.001255084768248101,0.001547053103080481,54.73761697100778,False
G,13,0.0011259628273546695,0.0011814909616015598,57.27643519996578,True
G,14,0.0012496603458809355,0.0012705164103824487,56.49502230913211,False
G,15,0.0012150273084019622,0.0013303594428918555,56.0232170300606,False
G,16,0.0011543086000407735,0.0011949824342408623,57.15177972907694,False
G,17,0.001180547441666325,0.0011808673212400232,57.27963664389064,True
G,18,0.0011514905366736153,0.0012866847896669856,56.369733272454674,False
G,19,0.0011542473376418153,0.00118616857052518,57.22922672369541,False
G,20,0.0011895810021087527,0.001284799971876459,56.352532998109474,False
G,21,0.0011546514245371023,0.0012050012288750429,57.057725140172195,False
G,22,0.0011015085115407904,0.0014680789118935156,55.11085868900658,False
G,23,0.0011547691429344316,0.001257038110584562,56.649688068618126,False
G,24,0.001118748952479412,0.0013263160427514878,56.02656923603808,False
G,25,0.0011194623595414063,0.001345989678421209,55.916434296175964,False
G,26,0.0010837469381901124,0.001414911337913229,55.446475102351265,False
G,27,0.0010606051872794828,0.0018553792789546598,53.13570087791508,False
G,28,0.001080009388194109,0.0016862553918463553,53.85055235512236,False
G,29,0.0010378708500259866,0.0019055431615163246,52.48190323919312,False
G,30,0.0010332978947553784,0.002564285665901744,50.139699397942955,False
CG_NC,1,0.01262079249912252,0.0016830993635166022,51.14146172287118,True
CG_NC,2,0.0020272324203203123,0.001984610048154544,50.982770251412674,False
CG_NC,3,0.002163709392771125,0.002991211584681629,49.142443958510704,False
CG_NC,4,0.001860385223214204,0.0014811037158052253,53.37509083544087,True
CG_NC,5,0.0014484887760287772,0.001757891222826627,52.526370382716514,False
CG_NC,6,0.0017878720463098338,0.0013375640727388554,54.323745923164566,True
CG_NC,7,0.001831701185243825,0.0015336105999990534,53.739437755356484,False
CG_NC,8,0.0016415840038098396,0.0016493872504553988,53.4827514713646,False
CG_NC,9,0.0016242181591223925,0.001203293506649092,56.992599389491936,True
CG_NC,10,0.0014557524114691962,0.0013560164629274772,55.838771363608856,False
CG_NC,11,0.0013687195372767747,0.0011906931594682809,57.201765500582184,True
CG_NC,12,0.0012870200917435189,0.0012657921686649132,56.55222366202591,False
CG_NC,13,0.001416954929397131,0.0012175113332863802,56.92361619737413,False
CG_NC,14,0.001233813651682188,0.0011807524556349805,57.28562249077691,True
CG_NC,15,0.0012428379167492192,0.001197014884569515,57.13296267517612,False
CG_NC,16,0.0011681691689106326,0.0011849609600642745,57.24553970597748,False
CG_NC,17,0.0013947303507787486,0.0012269550596133002,56.83479879656409,False
CG_NC,18,0.0011839268018957226,0.0011814925222633742,57.279537950825485,False
CG_NC,19,0.0012177358916960657,0.001297746840207718,56.312896369868874,False
CG_NC,20,0.0014155116828624159,0.0012959128387001718,56.31110587486854,False
CG_NC,21,0.0014354477842183162,0.0012061313007615951,57.01460132435856,False
CG_NC,22,0.0012491715253175547,0.001165929092711204,57.39310409676315,True
CG_NC,23,0.0011979684381124875,0.0013558734924747394,55.85122683924487,False
CG_NC,24,0.001400839239358902,0.0012033998898556854,57.04196587587014,False
CG_NC,25,0.0012960267652912685,0.0011704604451855023,57.33877556955712,False
CG_NC,26,0.0012642422570691755,0.0012231942104040366,56.878397623697914,False
CG_NC,27,0.0011697087708550196,0.0012060614202259125,57.03546455578926,False
CG_NC,28,0.0012363125112218162,0.0012428724519414906,56.73496040931115,False
CG_NC,29,0.001057826685331141,0.0013133487708938236,56.2051877730932,False
CG_NC,30,0.0010997489653527736,0.0015688930622214435,54.446668641180054,False
