experiment,scene_id,pair_count,noisy_psnr,noisy_ssim,output_psnr,output_ssim,output_mae,mean_shift_DN
CG_NC,Scene1,27,57.271269755449275,0.9978222756395093,57.3626106155672,0.9978937762393011,0.0011697280950694734,-3.2976870782886816
CG_NC,Scene2,30,57.28435033180471,0.9977739134609659,57.38366910529509,0.9978543749721388,0.001166315255913292,-3.0911145881130357
CG_NC,Scene3,30,57.27632723115297,0.9977449741051303,57.44679115445613,0.9978376828048584,0.001159356820527089,-3.294079947973321
CG_NC,Scene4,30,57.27043742816998,0.9978064404177072,57.37627373048187,0.9978807088176751,0.0011686071729585217,-3.3269584146107634
G,Scene1,27,57.271269755449275,0.9978222756395093,57.236663816283965,0.9978476217651857,0.0011864216715049742,-6.589913959134522
G,Scene2,30,57.28435033180471,0.9977739134609659,57.248350961334204,0.9978097217648192,0.0011843050803410028,-6.212092441953567
G,Scene3,30,57.27632723115297,0.9977449741051303,57.35285254347958,0.9978021294575474,0.0011711141942134832,-6.521948653086652
G,Scene4,30,57.27043742816998,0.9978064404177072,57.27636771713674,0.9978422981876315,0.0011815695314701215,-6.591001510180492
